run_id,split,route,direction,reversal,temperature_c,load_fraction
train-r1-n-same-000,train,1,-1,0,20.0,0.0
train-r1-n-same-001,train,1,-1,0,20.0,1.0
train-r1-n-same-002,train,1,-1,0,70.0,0.0
train-r1-n-same-003,train,1,-1,0,70.0,1.0
train-r1-n-same-004,train,1,-1,0,47.26349784822928,0.5077261931416466
train-r1-n-same-005,train,1,-1,0,63.84290346449581,0.43267071817876257
train-r1-n-same-006,train,1,-1,0,53.02958167112464,0.1813360685414006
train-r1-n-same-007,train,1,-1,0,60.83300574009875,0.7481504721565535
train-r1-n-same-008,train,1,-1,0,67.81723674812517,0.24963254111837807
train-r1-n-same-009,train,1,-1,0,61.40558457156162,0.9324719675918087
train-r1-n-same-010,train,1,-1,0,36.509545966386625,0.03783168946644078
train-r1-n-same-011,train,1,-1,0,60.00193141879072,0.15581414220318868
train-r1-n-same-012,train,1,-1,0,67.19998423070496,0.6067762042168706
train-r1-n-same-013,train,1,-1,0,66.41815026951116,0.43940433629395603
train-r1-n-same-014,train,1,-1,0,37.003761767772644,0.9680216791439146
train-r1-n-same-015,train,1,-1,0,20.517107949117584,0.09348776900875955
train-r1-n-same-016,train,1,-1,0,52.22281219279848,0.6885801114577047
train-r1-n-same-017,train,1,-1,0,51.48487939557033,0.04719843792450329
train-r1-n-same-018,train,1,-1,0,36.16290619959386,0.009321518673244489
train-r1-n-same-019,train,1,-1,0,36.46447619416728,0.05935650660777214
train-r1-n-rev-000,train,1,-1,1,20.0,0.0
train-r1-n-rev-001,train,1,-1,1,20.0,1.0
train-r1-n-rev-002,train,1,-1,1,70.0,0.0
train-r1-n-rev-003,train,1,-1,1,70.0,1.0
train-r1-n-rev-004,train,1,-1,1,35.794653643237325,0.7064515168207317
train-r1-n-rev-005,train,1,-1,1,45.15524624599134,0.7308803057708302
train-r1-n-rev-006,train,1,-1,1,60.36418731902977,0.6843318832848565
train-r1-n-rev-007,train,1,-1,1,40.19959061609668,0.9087026108023735
train-r1-n-rev-008,train,1,-1,1,49.94439944935496,0.898936655432711
train-r1-n-rev-009,train,1,-1,1,23.36658851859474,0.11237680125350147
train-r1-n-rev-010,train,1,-1,1,23.87694509715759,0.660471282292016
train-r1-n-rev-011,train,1,-1,1,52.605256421546244,0.817462262957966
train-r1-n-rev-012,train,1,-1,1,21.847723879973678,0.35037760922979233
train-r1-n-rev-013,train,1,-1,1,59.34864338923168,0.7475556534534524
train-r1-n-rev-014,train,1,-1,1,69.94493833210146,0.6192083613593441
train-r1-n-rev-015,train,1,-1,1,34.51057086570048,0.49371146650478503
train-r1-n-rev-016,train,1,-1,1,48.62334368565406,0.351899154257888
train-r1-n-rev-017,train,1,-1,1,27.772234230805413,0.8412977870979632
train-r1-n-rev-018,train,1,-1,1,68.00383354763109,0.43269923301112245
train-r1-n-rev-019,train,1,-1,1,52.07515478534111,0.6817282091739076
